,city021_001,city021_002,city021_003,city021_004,city021_005,city021_006,city021_007,city021_008,city021_009,city021_010,city021_011,city021_012,city021_013,city021_014,city021_015,city021_016,city021_017,city021_018,city021_019,city021_020,city021_021,city021_022,city021_023,city021_024,city021_025,city021_026,city021_027,city021_028,city021_029,city021_030,city021_031,city021_032,city021_033,city021_034,city021_035,city021_036,city021_037,city021_038,city021_039,city021_040,city021_041,city021_042,city021_043,city021_044,city021_045,city021_046,city021_047,city021_048,city021_049,city021_050,city021_051,city021_052,city021_053,city021_054,city021_055,city021_056,city021_057,city021_058,city021_059,city021_060,city021_061,city021_062,city021_063,city021_064,city021_065,city021_066,city021_067,city021_068,city021_069,city021_070,city021_071,city021_072,city021_073,city021_074,city021_075,city021_076,city021_077,city021_078,city021_079,city021_080,city021_081,city021_082,city021_083,city021_084,city021_085,city021_086,city021_087,city021_088,city021_089,city021_090,city021_091,city021_092,city021_093,city021_094,city021_095,city021_096,city021_097,city021_098,city021_099,city021_100
city022_001,0.631379,1.06772,1.043124,1.089413,0.923881,1.023895,1.187546,1.059396,1.074661,1.088617,1.010329,1.092984,1.080251,1.010674,1.171037,1.04854,1.142656,1.412502,0.996711,1.102804,0.992862,1.099743,1.011635,1.207932,1.007344,0.834913,1.202814,1.065135,1.120288,1.146371,0.993085,1.120576,1.132499,1.170955,1.036888,0.943348,1.404696,1.12878,0.863199,1.362895,1.110293,0.974565,1.019427,0.956999,0.96506,1.107606,1.087867,1.111125,0.972136,1.075075,1.124377,1.149758,1.088441,1.173705,0.930655,0.986325,0.99713,1.022168,1.14665,1.105432,0.896352,1.100614,0.829342,1.082094,0.946245,1.079177,1.004093,1.16503,1.376312,1.106059,1.116484,1.103537,1.126895,0.986931,1.022211,0.964941,1.136653,1.109819,1.083658,0.881978,1.141633,1.167381,1.054514,1.139189,1.104484,0.976127,1.093049,1.009373,0.915123,1.183339,1.074584,1.094829,1.205103,0.969404,1.076614,1.153539,1.062841,0.846054,1.125666,1.057515
city022_002,1.133992,0.695677,1.013035,1.023644,1.111018,1.027572,1.127015,1.156751,1.006763,1.470204,1.112625,1.215673,1.081638,1.03039,1.232821,1.055784,1.09843,1.165555,1.088155,1.091684,1.07394,1.248696,0.873611,1.119166,1.123225,1.142219,1.09811,1.118214,1.038369,1.130207,1.247697,1.073721,1.089917,0.989141,1.166557,0.918318,1.101465,1.075936,1.150318,1.323866,1.241409,1.062368,1.14458,1.168481,1.245265,1.044639,1.083851,1.029735,1.191981,1.000085,0.995378,1.320561,1.087862,1.273023,1.160127,1.002661,1.158085,1.119855,1.028984,1.02214,0.927279,1.066442,1.017739,0.958559,0.981926,0.92739,1.113862,1.247079,1.153302,1.224969,1.244297,1.194185,1.148654,1.004041,0.936946,1.074718,1.254601,1.097245,1.187399,1.083532,1.010517,0.944542,1.085773,1.085655,1.102676,1.056642,1.073348,1.052154,0.988128,0.95725,1.076626,1.119835,1.161697,0.993887,1.088381,0.809667,1.064721,1.062345,1.066045,1.087156
city022_003,1.065524,0.926561,0.586756,0.907841,1.074374,0.923013,1.22361,1.148166,0.888461,1.223377,1.009708,0.995456,0.874283,0.979567,1.110584,1.000449,1.067842,1.319744,0.95554,1.011982,0.90596,1.147807,0.909276,0.893077,0.99308,1.121836,0.95161,1.204009,0.917656,0.902217,1.132903,1.072092,0.977092,0.832497,1.16872,1.024182,1.142212,0.990385,1.198848,1.33171,1.110374,0.965163,1.157728,1.080598,1.0433,0.975025,0.904033,0.99301,1.003702,0.990331,1.033595,1.281257,1.144438,1.13488,0.985747,0.974894,1.132576,1.064447,1.03567,0.879749,0.990236,0.972085,1.042398,0.986457,1.000576,1.057465,1.028451,1.191952,1.264342,1.144947,1.271387,1.084711,1.075339,0.969717,1.046368,1.047294,1.218854,1.03802,1.075849,1.089862,1.016401,0.854005,1.073761,1.098759,1.100579,1.072487,1.070106,1.046962,0.982149,0.98721,0.915715,1.094786,1.135374,1.091423,1.026042,0.97418,0.987724,1.068758,1.011468,0.969874
city022_004,1.002698,0.960159,0.931789,0.538449,1.170242,1.023758,1.227004,1.116592,0.805371,1.144038,0.982093,0.715559,0.935021,1.105418,0.908758,0.938189,0.782581,1.502674,1.137553,0.979468,0.960409,1.055624,0.995227,0.77246,0.73893,1.14586,0.825721,1.27916,0.800278,1.038841,1.145844,0.896327,1.116243,1.03725,0.905663,1.022449,0.997184,0.857171,1.099578,1.601168,1.156045,1.068442,1.244326,0.907238,1.016581,0.769248,0.882448,0.961396,0.876697,1.041001,0.821578,1.428354,1.312935,1.016539,1.016412,0.986347,1.06508,1.091518,1.102067,1.016024,0.930542,1.024761,1.053938,0.981565,1.018957,1.013359,0.840421,1.01877,1.295905,1.014756,1.339891,1.211173,0.86327,1.075424,1.036281,0.990428,1.274831,1.035229,1.016843,1.018195,0.828374,1.016027,0.880124,1.035319,1.007095,1.09103,1.001488,1.051879,1.093219,0.809403,0.682986,1.199768,1.224511,1.116248,1.011849,0.8832,1.057287,1.093781,0.880862,1.082507
city022_005,0.961173,1.151217,1.092612,1.233899,0.573054,1.026245,0.979274,1.120279,1.083968,1.080837,1.006123,1.232157,1.127276,0.956273,1.143771,1.311124,1.136014,1.182601,0.929754,1.201586,1.138016,1.136569,1.171304,1.189096,1.205308,0.959735,1.072669,0.939056,1.086097,1.102911,1.091743,1.143769,1.099367,1.115643,1.143315,0.93329,1.232694,1.098022,0.991975,1.121631,1.050295,1.053415,0.934944,1.106727,1.01689,1.046319,1.118891,1.054609,0.998831,1.097229,1.14675,1.121522,0.978189,1.077402,1.099162,1.007521,0.967182,1.145992,0.976991,1.113581,0.956894,1.204745,0.987499,1.06829,0.852869,1.166815,1.238147,1.078603,1.147397,1.081964,1.03192,1.050179,1.106029,1.035594,1.063954,0.985589,1.035975,1.029426,1.025205,1.050895,1.097503,1.219595,1.161361,1.08152,1.168968,0.975057,1.082305,1.116938,0.890198,1.098916,1.151653,0.975942,1.036998,0.902596,1.147693,1.057262,1.016401,1.037022,1.178633,1.177206
city022_006,1.088442,0.987715,0.959099,1.096472,0.944953,0.552842,1.176284,1.112637,1.096997,1.04475,0.969758,1.194602,1.002097,1.05272,1.178628,1.087696,1.205009,1.215468,1.007666,1.054521,0.981826,1.207823,0.989426,1.043715,1.178059,0.959379,1.056188,1.145072,1.014356,0.978497,1.112287,1.109307,1.03022,0.878664,1.134114,1.026276,1.261615,1.168793,1.122182,1.220203,1.023522,1.161487,1.012013,1.154491,1.007022,1.083998,1.072735,1.079417,1.040679,0.964432,1.10997,1.234353,1.112775,1.201683,1.053367,0.986515,1.056675,1.010115,1.131505,0.985252,1.000966,1.072865,0.825087,0.933705,0.857515,0.998558,1.16651,1.291822,1.258344,1.165353,1.030438,1.133315,1.160713,0.960363,1.177368,1.050147,1.096592,1.137197,0.977247,1.039967,1.139699,0.949897,1.135443,1.057133,1.230838,1.154956,1.212575,1.156052,1.074036,1.065002,1.093281,1.029899,1.277257,1.081486,1.203267,0.990061,0.987056,0.974288,1.091734,1.000995
city022_007,1.187326,1.191668,1.233837,1.264042,1.025372,1.214211,0.527793,1.007283,1.164469,1.11272,1.153239,1.149679,1.248614,0.962847,1.221001,1.412036,1.117165,0.869025,1.1156,1.264158,1.338116,1.008449,1.277304,1.331082,1.338878,1.184649,1.158114,1.079616,1.177933,1.275073,0.965223,1.198528,1.183669,1.184043,1.32394,1.109995,1.229948,1.185857,1.30193,0.885234,1.009593,1.123237,1.004587,1.327267,0.915231,1.295229,1.331976,1.024141,1.343054,1.160752,1.06813,0.964472,0.866762,1.24444,1.271003,1.010615,0.930949,1.333034,1.059274,1.229342,1.105914,1.321035,1.17295,1.101403,1.087976,1.276285,1.336715,1.22829,1.071409,0.837887,0.786336,0.87236,1.043488,1.090888,1.006297,1.056859,1.011265,1.184048,0.923086,1.130655,1.205346,1.193929,1.254755,1.130129,1.252371,1.192866,0.944603,1.140768,1.0425,1.26038,1.154962,0.822955,0.807891,0.992315,1.195308,1.159841,0.971874,1.213432,1.249631,1.280379
city022_008,1.123611,1.235182,1.188617,1.330866,1.101984,1.089608,0.957085,0.61403,1.243343,1.169714,1.159067,1.273968,1.36631,1.034838,1.276659,1.415538,1.377688,0.976081,1.077242,1.295615,1.225383,0.857106,1.283135,1.286607,1.265844,1.122171,1.151617,0.990842,1.207493,1.191339,0.820923,0.947641,1.05645,1.151231,1.276287,1.072661,1.246246,1.172703,1.168625,0.862781,1.043415,1.152391,1.045146,1.258834,1.013698,1.197649,1.327381,1.018029,1.277692,1.110559,1.27699,0.842051,0.894938,1.229439,1.173559,1.103709,1.119743,1.278127,1.065975,1.175517,1.043702,1.291807,1.099042,1.089033,1.043636,1.23631,1.304865,1.145914,1.108041,0.854756,0.988366,0.927016,1.364042,1.093018,1.235527,1.218404,0.954735,1.1545,1.043844,1.072513,1.371741,1.249146,1.071212,1.085338,1.247212,1.185319,0.916424,1.241383,1.162708,1.345935,1.225456,0.953532,1.009326,1.045436,1.145622,1.117846,1.157858,1.106401,1.287855,1.211318
city022_009,1.118465,0.954513,0.841038,0.819261,1.042398,1.007695,1.140117,1.199595,0.520627,1.265194,0.93603,0.811052,1.054923,0.960371,1.043994,1.068566,0.94576,1.271561,0.994797,1.067447,0.997199,1.147394,0.911093,0.772954,0.899074,1.087245,0.923508,1.096086,0.75992,1.034805,1.191487,0.856779,1.018159,0.968897,1.020208,0.90642,0.875275,0.884113,1.132071,1.293847,1.099794,1.010659,1.099058,0.925281,1.076643,0.86981,0.806808,1.014354,0.905419,0.978894,0.928222,1.358846,1.068997,1.116828,1.086483,0.927669,1.085156,1.09767,1.000971,0.977911,0.894864,1.104513,0.965428,0.967266,0.86866,0.946553,0.979498,0.995389,1.077958,1.130757,1.222137,0.99405,0.877256,0.963099,0.995676,0.993331,1.141124,1.013584,1.135612,0.964745,0.897118,0.955032,1.019393,1.04544,1.082241,1.042885,1.122155,1.083108,0.999508,0.900262,0.851684,1.126651,1.189463,0.994025,1.0111,0.964017,1.039156,1.073768,0.847329,1.071374
city022_010,1.02734,1.396739,1.169895,1.218699,1.068063,0.975468,1.072573,1.111484,1.278943,0.499529,1.076967,1.205826,1.230172,1.017514,1.31805,1.260558,1.405302,1.198518,1.035558,1.239662,1.175067,0.986081,1.208266,1.295574,1.135102,1.05705,1.266841,1.155277,1.238783,1.123047,0.945078,1.313035,1.357169,1.22289,1.223429,1.238701,1.614912,1.376185,1.210244,1.068157,0.830396,1.103283,0.943201,1.159447,0.822785,1.326473,1.256137,1.02009,1.056646,1.280002,1.357047,1.11837,1.06707,1.316527,1.049651,1.147564,0.878062,1.243266,1.262314,1.247137,1.174117,1.226613,1.018631,1.181385,1.163264,1.284671,1.14883,1.483801,1.433639,0.922607,0.866378,1.047142,1.202712,1.172414,1.309277,1.176947,1.009331,1.187602,0.770667,1.043042,1.354412,1.273559,1.249102,1.26342,1.18816,1.241089,1.075629,1.147806,1.104579,1.392292,1.189628,0.901748,1.139959,1.167311,1.198681,1.340277,1.056343,1.1866,1.456666,1.32594
